instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,synapses.p_exc_exc,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,16,12,100,80,90,0.45,no-calib_on-chip,47,0.058,0.06,0.053,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.06,0.053,0.13,0.0,5.154,4.98,5.132,6.365,6.0,4.385,4.52,5.184,5.18,5.0,25.05.24 - 04:47
1,16,10,80,40,90,0.44999999999999996,no-calib_on-chip,49,0.058,0.04,0.026,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.04,0.026,0.08,0.0,5.019,5.03,5.059,6.025,6.25,5.615,5.48,6.0,6.24,9.0,25.05.24 - 04:51
2,16,16,100,80,90,0.39999999999999997,no-calib_on-chip,-1,0.154,0.15,0.118,0.215,0.25,0.0,0.0,0.0,0.0,0.0,0.154,0.15,0.118,0.215,0.25,4.096,4.14,4.217,5.52,5.0,1.615,1.72,2.263,2.02,1.0,25.05.24 - 04:55
3,14,16,100,80,90,0.39999999999999997,no-calib_on-chip,49,0.231,0.2,0.191,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.2,0.191,0.255,0.0,4.192,4.03,4.145,5.465,3.5,2.385,2.24,2.289,2.14,2.0,25.05.24 - 04:59
4,16,10,80,80,70,0.44999999999999996,no-calib_on-chip,-1,0.25,0.26,0.243,0.325,0.25,0.25,0.23,0.224,0.195,0.25,0.0,0.03,0.02,0.13,0.0,5.096,5.14,5.132,6.595,4.25,7.462,7.48,7.368,6.78,5.0,25.05.24 - 05:03
5,16,14,100,60,70,0.3,no-calib_on-chip,-1,0.327,0.27,0.27,0.35,0.25,0.135,0.11,0.118,0.13,0.25,0.192,0.16,0.151,0.22,0.0,3.981,4.14,4.296,5.245,4.25,2.308,2.48,2.816,2.74,3.0,25.05.24 - 05:06
6,14,12,60,60,70,0.3,no-calib_on-chip,-1,0.5,0.46,0.414,0.46,0.5,0.058,0.06,0.066,0.055,0.0,0.442,0.4,0.349,0.405,0.5,4.577,4.82,4.691,6.11,4.5,0.846,1.16,1.237,1.2,1.0,25.05.24 - 05:10
6,14,12,60,60,70,0.3,no-calib_on-chip,-1,0.327,0.33,0.316,0.38,0.5,0.0,0.0,0.013,0.02,0.0,0.327,0.33,0.303,0.36,0.5,5.365,5.22,5.079,6.325,6.5,1.615,1.96,2.184,2.04,1.0,25.05.24 - 06:28
7,14,8,80,60,90,0.3,no-calib_on-chip,-1,0.346,0.35,0.322,0.385,0.25,0.0,0.0,0.0,0.0,0.0,0.346,0.35,0.322,0.385,0.25,6.0,5.37,5.618,6.94,5.5,1.0,1.2,1.132,1.04,1.0,25.05.24 - 06:32
8,16,16,60,80,90,0.39999999999999997,no-calib_on-chip,-1,0.25,0.22,0.204,0.29,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.22,0.204,0.29,0.5,4.423,4.23,4.197,5.64,3.75,1.846,1.88,1.974,1.86,1.0,25.05.24 - 06:37
9,16,16,60,80,70,0.44999999999999996,no-calib_on-chip,-1,0.058,0.09,0.105,0.2,0.25,0.058,0.09,0.105,0.085,0.25,0.0,0.0,0.0,0.115,0.0,5.558,5.44,5.263,6.66,6.0,6.538,6.4,6.447,6.18,8.0,25.05.24 - 06:41
10,18,12,80,80,70,0.3,no-calib_on-chip,-1,0.192,0.21,0.224,0.285,0.25,0.0,0.0,0.0,0.01,0.0,0.192,0.21,0.224,0.275,0.25,4.019,3.98,3.921,5.245,3.5,1.692,1.4,1.816,2.06,0.0,25.05.24 - 06:45
11,16,12,100,40,80,0.3,no-calib_on-chip,-1,0.212,0.25,0.243,0.275,0.25,0.0,0.0,0.013,0.025,0.0,0.212,0.25,0.23,0.25,0.25,4.519,5.25,4.993,5.6,3.25,1.769,1.68,1.868,1.76,3.0,25.05.24 - 06:49
12,14,16,100,80,80,0.3,no-calib_on-chip,-1,0.327,0.31,0.257,0.325,0.5,0.0,0.0,0.0,0.0,0.0,0.327,0.31,0.257,0.325,0.5,6.769,6.47,5.836,6.97,7.25,1.231,1.44,1.711,1.64,0.0,25.05.24 - 06:54
13,14,8,100,40,70,0.44999999999999996,no-calib_on-chip,-1,0.115,0.09,0.086,0.145,0.25,0.096,0.08,0.079,0.08,0.25,0.019,0.01,0.007,0.065,0.0,5.0,5.1,5.243,6.155,5.0,8.154,8.44,8.579,8.68,10.0,25.05.24 - 06:58
14,16,14,100,40,90,0.39999999999999997,no-calib_on-chip,43,0.019,0.01,0.033,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.01,0.033,0.065,0.0,3.442,3.55,3.711,4.55,3.75,4.0,4.04,3.789,3.96,5.0,25.05.24 - 07:02
15,16,14,80,40,70,0.39999999999999997,no-calib_on-chip,38,0.019,0.01,0.007,0.06,0.0,0.0,0.0,0.0,0.005,0.0,0.019,0.01,0.007,0.055,0.0,4.596,4.68,4.928,5.905,5.0,4.923,5.16,5.605,6.06,6.0,25.05.24 - 07:06
16,14,12,100,80,80,0.39999999999999997,no-calib_on-chip,42,0.019,0.02,0.053,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.02,0.053,0.145,0.0,4.385,4.42,4.487,5.855,4.5,4.0,4.4,4.526,4.2,5.0,25.05.24 - 07:11
