instance_id,plasticity.lambda_plus,plasticity.lambda_h,plasticity.target_rate_h,plasticity.permanence_threshold,plasticity.correlation_threshold,experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,16,14,80,80,90,no-calib_on-chip_no-dyn-inh,-1,0.731,0.72,0.737,0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.731,0.72,0.737,0.78,1.0,4.692,4.75,4.914,5.67,5.0,0.077,0.2,0.158,0.12,0.0,27.05.24 - 04:29
1,18,10,80,60,70,no-calib_on-chip_no-dyn-inh,-1,0.288,0.32,0.355,0.395,0.25,0.0,0.0,0.0,0.0,0.0,0.288,0.32,0.355,0.395,0.25,4.865,4.69,4.691,5.27,5.25,1.154,1.32,1.368,1.16,1.0,27.05.24 - 04:33
2,18,14,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.481,0.48,0.467,0.535,0.5,0.0,0.0,0.0,0.0,0.0,0.481,0.48,0.467,0.535,0.5,5.212,5.26,5.164,5.745,5.75,0.923,0.96,0.974,0.84,1.0,27.05.24 - 04:37
3,18,10,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.63,0.658,0.675,0.5,0.0,0.0,0.0,0.0,0.0,0.654,0.63,0.658,0.675,0.5,4.115,4.16,4.23,4.84,4.5,1.308,1.32,1.263,1.1,1.0,27.05.24 - 04:41
4,16,8,100,80,90,no-calib_on-chip_no-dyn-inh,-1,0.615,0.69,0.704,0.73,0.25,0.0,0.0,0.0,0.0,0.0,0.615,0.69,0.704,0.73,0.25,4.788,4.95,5.105,5.86,4.75,0.846,0.48,0.342,0.32,2.0,27.05.24 - 04:45
5,16,10,100,60,80,no-calib_on-chip_no-dyn-inh,-1,0.654,0.67,0.658,0.69,0.75,0.0,0.0,0.0,0.0,0.0,0.654,0.67,0.658,0.69,0.75,4.75,4.63,4.645,5.295,5.25,0.308,0.44,0.368,0.36,0.0,27.05.24 - 04:48
6,18,10,60,40,80,no-calib_on-chip_no-dyn-inh,-1,0.5,0.57,0.539,0.565,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.57,0.539,0.565,0.75,4.673,4.55,4.572,5.05,2.75,1.462,1.36,1.263,1.08,1.0,27.05.24 - 04:52
7,14,8,100,60,90,no-calib_on-chip_no-dyn-inh,-1,0.827,0.79,0.776,0.785,0.75,0.0,0.0,0.0,0.0,0.0,0.827,0.79,0.776,0.785,0.75,4.865,4.88,4.993,5.63,4.5,0.077,0.04,0.079,0.08,0.0,27.05.24 - 04:56
8,16,14,100,40,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.66,0.658,0.67,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.66,0.658,0.67,0.75,4.808,4.85,4.809,5.15,5.75,0.769,0.64,0.632,0.52,1.0,27.05.24 - 05:00
9,16,14,100,80,80,no-calib_on-chip_no-dyn-inh,-1,0.673,0.68,0.691,0.72,0.75,0.0,0.0,0.0,0.0,0.0,0.673,0.68,0.691,0.72,0.75,4.231,4.35,4.368,4.99,4.25,1.077,1.0,1.0,0.92,1.0,27.05.24 - 05:04
