instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,97,0.04,0.035,0.023,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.035,0.023,0.038,0.0,4.93,4.795,4.927,5.4,5.0,24.05.24 - 08:44
1,77,0.01,0.01,0.007,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.007,0.025,0.0,5.08,4.985,5.01,5.522,4.75,24.05.24 - 08:44
2,95,0.01,0.01,0.007,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.007,0.025,0.0,4.75,4.775,4.833,5.298,4.75,24.05.24 - 08:44
3,94,0.04,0.03,0.027,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.027,0.04,0.0,5.16,5.08,5.033,5.478,5.0,24.05.24 - 08:51
4,2,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.92,4.985,5.04,5.33,5.0,24.05.24 - 08:55
5,2,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,5.12,5.085,5.11,5.522,3.5,24.05.24 - 08:55
6,97,0.02,0.01,0.01,0.032,0.0,0.0,0.0,0.0,0.005,0.0,0.02,0.01,0.01,0.028,0.0,4.48,4.67,4.653,5.135,3.75,24.05.24 - 08:55
7,78,0.01,0.015,0.013,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.015,0.013,0.03,0.0,4.77,4.65,4.707,5.19,3.75,24.05.24 - 08:55
8,99,0.05,0.08,0.073,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.073,0.075,0.0,4.68,4.745,4.88,5.345,5.0,24.05.24 - 08:55
9,53,0.0,0.005,0.003,0.025,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.005,0.003,0.022,0.0,5.01,5.025,5.117,5.46,5.5,24.05.24 - 08:55
