instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.333,0.333,0.274,0.386,0.333,0.333,0.333,0.244,0.183,0.333,0.0,0.0,0.03,0.203,0.0,5.167,5.167,5.889,7.536,5.167,22.05.24 - 20:18
1,-1,0.333,0.333,0.316,0.408,0.333,0.333,0.333,0.304,0.231,0.333,0.0,0.0,0.03,0.192,0.0,5.0,5.0,5.326,7.019,5.0,22.05.24 - 20:18
2,-1,0.167,0.167,0.195,0.319,0.167,0.167,0.167,0.152,0.114,0.167,0.0,0.0,0.063,0.219,0.0,3.833,3.9,4.722,6.525,3.833,22.05.24 - 20:18
3,-1,0.167,0.167,0.133,0.281,0.167,0.167,0.167,0.13,0.1,0.167,0.0,0.0,0.007,0.186,0.0,4.5,4.5,5.374,7.264,4.5,22.05.24 - 20:18
4,-1,0.333,0.333,0.304,0.397,0.333,0.333,0.333,0.304,0.231,0.333,0.0,0.0,0.0,0.167,0.0,4.0,4.0,4.074,5.972,4.0,22.05.24 - 20:18
5,-1,0.333,0.333,0.311,0.403,0.333,0.333,0.333,0.304,0.228,0.333,0.0,0.0,0.007,0.175,0.0,5.667,5.667,5.863,7.492,5.667,22.05.24 - 20:18
6,-1,0.278,0.222,0.211,0.347,0.333,0.278,0.222,0.178,0.133,0.333,0.0,0.0,0.033,0.214,0.0,3.333,3.333,4.089,6.156,3.333,22.05.24 - 20:18
7,-1,0.333,0.333,0.333,0.419,0.333,0.333,0.333,0.333,0.253,0.333,0.0,0.0,0.0,0.167,0.0,4.333,4.533,5.311,6.964,4.333,22.05.24 - 20:18
8,-1,0.333,0.333,0.321,0.413,0.333,0.333,0.333,0.285,0.214,0.333,0.0,0.0,0.044,0.206,0.0,3.833,3.833,5.033,6.819,3.833,22.05.24 - 20:18
9,-1,0.333,0.333,0.289,0.381,0.333,0.333,0.333,0.289,0.217,0.333,0.0,0.0,0.0,0.164,0.0,4.0,4.0,4.356,6.278,4.0,22.05.24 - 20:18
