experiment_subnum,plasticity.lambda_plus,plasticity.lambda_minus,plasticity.lambda_h,plasticity.tau_plus,num-epochs_avg,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,0.13,0.003,0.01,15,46,0.104,0.199,0.302,0.454,0.05,0.027,0.024,0.016,0.012,0.017,0.079,0.179,0.289,0.445,0.033,6.293,7.453,8.47,9.891,5.583,22.05.24 - 08:48
1,0.13,0.003,0.01,16,42,0.103,0.141,0.238,0.395,0.067,0.073,0.077,0.06,0.045,0.05,0.042,0.076,0.188,0.358,0.017,5.07,5.911,7.2,8.834,3.967,22.05.24 - 08:48
0,0.18000000000000005,0.005,0.024999999999999998,18,23,0.033,0.047,0.091,0.233,0.033,0.033,0.044,0.064,0.052,0.033,0.0,0.003,0.03,0.186,0.0,3.753,3.966,4.697,6.515,3.75,22.05.24 - 08:50
1,0.13,0.0045000000000000005,0.03,20,-1,0.478,0.5,0.501,0.561,0.507,0.251,0.256,0.24,0.185,0.233,0.24,0.261,0.287,0.397,0.283,8.774,9.094,9.345,10.211,9.1,22.05.24 - 08:51
2,0.15000000000000002,0.004,0.01,17,-1,0.202,0.192,0.22,0.362,0.233,0.201,0.176,0.13,0.098,0.233,0.003,0.026,0.1,0.272,0.0,4.396,4.875,5.971,7.741,4.2,22.05.24 - 08:51
3,0.14,0.004,0.019999999999999997,20,-1,0.207,0.22,0.234,0.345,0.4,0.126,0.137,0.141,0.112,0.2,0.081,0.084,0.097,0.239,0.2,5.254,5.556,6.042,7.563,6.817,22.05.24 - 08:52
4,0.14,0.005,0.019999999999999997,21,-1,0.247,0.268,0.279,0.374,0.497,0.099,0.112,0.112,0.087,0.217,0.16,0.169,0.183,0.3,0.3,7.042,7.332,7.648,8.742,9.05,22.05.24 - 08:53
5,0.13,0.004,0.024999999999999998,21,-1,0.391,0.406,0.425,0.491,0.304,0.114,0.127,0.141,0.112,0.1,0.302,0.305,0.315,0.405,0.233,9.163,9.281,9.397,10.119,8.7,22.05.24 - 08:53
6,0.15000000000000002,0.003,0.01,19,-1,0.3,0.287,0.271,0.363,0.3,0.3,0.287,0.264,0.201,0.3,0.0,0.0,0.011,0.166,0.0,4.25,4.25,4.644,6.42,4.25,22.05.24 - 08:54
7,0.17000000000000004,0.0035,0.01,17,-1,0.281,0.265,0.254,0.372,0.3,0.281,0.263,0.221,0.166,0.3,0.0,0.003,0.039,0.211,0.0,4.233,4.365,5.134,6.966,4.233,22.05.24 - 08:54
8,0.16000000000000003,0.004,0.015,16,32,0.084,0.1,0.176,0.339,0.067,0.077,0.073,0.063,0.047,0.067,0.013,0.037,0.124,0.3,0.0,4.523,5.252,6.49,8.215,3.933,22.05.24 - 08:55
9,0.16000000000000003,0.003,0.024999999999999998,17,27,0.063,0.072,0.114,0.262,0.05,0.063,0.07,0.081,0.066,0.05,0.0,0.002,0.036,0.2,0.0,3.667,3.851,4.663,6.594,3.667,22.05.24 - 08:56
10,0.13,0.005,0.015,20,54,0.108,0.129,0.179,0.317,0.083,0.086,0.088,0.09,0.067,0.083,0.022,0.046,0.099,0.256,0.0,4.406,4.872,5.898,7.553,3.9,22.05.24 - 08:56
11,0.15000000000000002,0.004,0.015,16,35,0.119,0.126,0.209,0.368,0.117,0.087,0.074,0.059,0.044,0.1,0.043,0.061,0.159,0.331,0.017,5.234,5.941,7.096,8.702,4.8,22.05.24 - 08:57
12,0.13,0.003,0.019999999999999997,18,26,0.072,0.103,0.151,0.297,0.067,0.072,0.087,0.096,0.073,0.067,0.0,0.018,0.063,0.23,0.0,3.939,4.348,5.293,7.126,3.783,22.05.24 - 08:57
13,0.17000000000000004,0.0045000000000000005,0.01,18,-1,0.287,0.274,0.253,0.366,0.3,0.287,0.274,0.231,0.173,0.3,0.0,0.001,0.029,0.198,0.0,4.367,4.427,5.133,6.912,4.367,22.05.24 - 08:58
14,0.14,0.0045000000000000005,0.024999999999999998,16,36,0.01,0.049,0.142,0.33,0.0,0.007,0.013,0.011,0.008,0.0,0.003,0.037,0.133,0.323,0.0,4.036,4.971,6.269,8.208,3.717,22.05.24 - 08:58
15,0.18000000000000005,0.003,0.03,15,31,0.026,0.057,0.105,0.273,0.017,0.026,0.051,0.063,0.049,0.017,0.0,0.007,0.047,0.229,0.0,3.787,4.02,4.93,6.96,3.733,22.05.24 - 08:59
16,0.16000000000000003,0.0035,0.024999999999999998,15,36,0.012,0.053,0.135,0.315,0.0,0.009,0.034,0.037,0.028,0.0,0.003,0.022,0.103,0.291,0.0,3.9,4.589,5.829,7.798,3.733,22.05.24 - 09:00
17,0.15000000000000002,0.003,0.015,20,-1,0.283,0.283,0.272,0.353,0.283,0.283,0.283,0.27,0.212,0.283,0.0,0.0,0.004,0.145,0.0,4.299,4.291,4.533,6.198,4.283,22.05.24 - 09:00
18,0.15000000000000002,0.003,0.01,17,-1,0.272,0.258,0.249,0.379,0.283,0.272,0.257,0.21,0.157,0.283,0.0,0.002,0.047,0.228,0.0,4.3,4.476,5.402,7.262,4.3,22.05.24 - 09:01
19,0.17000000000000004,0.003,0.024999999999999998,22,54,0.031,0.029,0.041,0.155,0.017,0.019,0.017,0.026,0.04,0.017,0.012,0.012,0.016,0.117,0.0,4.29,4.303,4.45,5.838,4.05,22.05.24 - 09:01
20,0.13,0.003,0.024999999999999998,22,-1,0.31,0.327,0.345,0.414,0.23,0.116,0.135,0.15,0.125,0.083,0.209,0.21,0.214,0.308,0.167,8.261,8.323,8.462,9.234,7.783,22.05.24 - 09:02
21,0.17000000000000004,0.004,0.015,18,27,0.082,0.079,0.1,0.242,0.083,0.082,0.078,0.082,0.066,0.083,0.0,0.001,0.023,0.181,0.0,3.88,3.939,4.55,6.405,3.683,22.05.24 - 09:03
22,0.16000000000000003,0.0045000000000000005,0.01,21,-1,0.278,0.263,0.247,0.329,0.283,0.278,0.263,0.244,0.192,0.283,0.0,0.0,0.005,0.141,0.0,4.328,4.312,4.526,6.148,4.333,22.05.24 - 09:03
23,0.16000000000000003,0.003,0.024999999999999998,20,-1,0.254,0.266,0.274,0.353,0.44,0.199,0.208,0.206,0.17,0.267,0.057,0.059,0.069,0.187,0.183,5.926,5.911,6.096,7.376,8.017,22.05.24 - 09:04
24,0.14,0.005,0.015,21,35,0.021,0.042,0.095,0.234,0.017,0.017,0.027,0.058,0.046,0.017,0.004,0.016,0.043,0.194,0.0,3.932,4.312,5.097,6.762,3.733,22.05.24 - 09:04
25,0.15000000000000002,0.0035,0.01,22,-1,0.283,0.282,0.269,0.337,0.283,0.283,0.282,0.268,0.214,0.283,0.0,0.0,0.001,0.126,0.0,4.317,4.316,4.406,5.925,4.317,22.05.24 - 09:05
26,0.16000000000000003,0.005,0.024999999999999998,15,40,0.038,0.093,0.186,0.373,0.017,0.012,0.009,0.006,0.005,0.017,0.026,0.084,0.18,0.368,0.0,4.874,5.731,6.926,8.786,4.183,22.05.24 - 09:05
27,0.17000000000000004,0.005,0.024999999999999998,21,-1,0.199,0.188,0.215,0.309,0.157,0.096,0.089,0.102,0.089,0.083,0.114,0.107,0.124,0.231,0.083,6.536,6.511,6.851,7.962,6.3,22.05.24 - 09:06
28,0.16000000000000003,0.005,0.024999999999999998,21,-1,0.288,0.295,0.308,0.384,0.511,0.123,0.129,0.133,0.109,0.217,0.181,0.184,0.194,0.293,0.333,7.668,7.799,7.981,8.871,9.333,22.05.24 - 09:06
29,0.17000000000000004,0.003,0.03,20,-1,0.305,0.316,0.325,0.398,0.25,0.223,0.226,0.233,0.201,0.217,0.082,0.091,0.093,0.201,0.033,6.286,6.396,6.562,7.683,5.583,22.05.24 - 09:07
