instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,-1,0.233,0.283,0.473,0.605,0.333,0.0,0.0,0.0,0.0,0.0,0.233,0.283,0.473,0.605,0.333,7.7,8.573,10.293,11.47,7.5,19.04.24 - 04:52
1,78,0.02,0.24,0.444,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.24,0.444,0.583,0.0,7.913,9.357,10.922,11.942,7.833,19.04.24 - 04:52
2,75,0.0,0.287,0.487,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,0.487,0.615,0.0,7.113,9.443,11.069,12.052,5.833,19.04.24 - 04:52
3,82,0.047,0.237,0.438,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.237,0.438,0.578,0.0,5.513,7.297,9.444,10.833,4.0,19.04.24 - 04:52
4,-1,0.247,0.33,0.513,0.635,0.167,0.0,0.0,0.0,0.0,0.0,0.247,0.33,0.513,0.635,0.167,7.333,8.437,10.316,11.487,7.333,19.04.24 - 04:52
5,-1,0.333,0.377,0.531,0.648,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.377,0.531,0.648,0.333,7.807,8.297,9.976,11.232,7.667,19.04.24 - 04:52
6,90,0.109,0.251,0.45,0.587,0.0,0.067,0.033,0.022,0.017,0.0,0.047,0.22,0.429,0.572,0.0,6.993,8.637,10.333,11.5,5.0,19.04.24 - 04:52
7,-1,0.167,0.277,0.476,0.607,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.277,0.476,0.607,0.167,6.893,8.26,10.213,11.41,6.333,19.04.24 - 04:52
8,93,0.12,0.197,0.411,0.558,0.0,0.02,0.01,0.007,0.005,0.0,0.1,0.187,0.404,0.553,0.0,6.4,7.633,9.658,10.993,6.0,19.04.24 - 04:52
9,90,0.18,0.283,0.482,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.283,0.482,0.612,0.0,7.093,8.133,10.031,11.273,5.333,19.04.24 - 04:52
