experiment_subnum,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,num-epochs_avg,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,0.02,0.0005,0.004,0.428,0.506,0.604,0.703,0.333,-1,0.12,0.06,0.04,0.03,0.133,0.323,0.453,0.569,0.677,0.2,9.245,10.348,11.247,12.185,8.183,19.04.24 - 04:35
1,0.02,0.0005,0.006,0.246,0.354,0.516,0.637,0.214,15.0,0.101,0.069,0.046,0.035,0.083,0.168,0.3,0.48,0.61,0.15,7.116,8.527,10.143,11.357,6.667,19.04.24 - 04:36
2,0.02,0.0005,0.008,0.284,0.326,0.496,0.622,0.233,18.0,0.186,0.152,0.101,0.076,0.167,0.103,0.184,0.401,0.551,0.067,6.643,7.872,9.71,11.033,6.317,19.04.24 - 04:37
3,0.02,0.0005,0.01,0.183,0.258,0.43,0.573,0.117,44.0,0.105,0.12,0.08,0.06,0.083,0.078,0.144,0.354,0.516,0.033,6.025,7.113,9.076,10.557,4.967,19.04.24 - 04:37
4,0.02,0.0005,0.012,0.159,0.234,0.391,0.543,0.1,40.0,0.097,0.127,0.091,0.068,0.083,0.066,0.123,0.313,0.485,0.017,5.798,6.754,8.648,10.236,5.133,19.04.24 - 04:38
5,0.02,0.0005,0.014,0.172,0.209,0.346,0.51,0.18,30.0,0.133,0.133,0.103,0.077,0.183,0.04,0.082,0.249,0.436,0.017,5.066,5.794,7.627,9.47,4.35,19.04.24 - 04:38
6,0.02,0.0005,0.016,0.12,0.175,0.313,0.481,0.133,28.0,0.095,0.108,0.092,0.069,0.1,0.025,0.068,0.227,0.417,0.033,4.628,5.503,7.354,9.239,4.383,19.04.24 - 04:39
7,0.02,0.0005,0.018000000000000002,0.269,0.248,0.336,0.499,0.28,-1,0.26,0.208,0.158,0.119,0.283,0.02,0.052,0.187,0.387,0.017,4.261,5.056,6.681,8.73,4.0,19.04.24 - 04:40
8,0.02,0.0005,0.02,0.378,0.357,0.404,0.55,0.398,6.0,0.414,0.354,0.284,0.213,0.45,0.017,0.036,0.146,0.356,0.017,4.783,5.029,6.457,8.564,4.783,19.04.24 - 04:40
9,0.02,0.0005,0.022000000000000002,0.25,0.247,0.293,0.466,0.267,-1,0.25,0.244,0.196,0.147,0.267,0.0,0.007,0.105,0.325,0.0,3.907,4.527,6.031,8.241,3.883,19.04.24 - 04:41
10,0.02,0.0005,0.024,0.461,0.469,0.472,0.597,0.475,-1,0.5,0.478,0.391,0.293,0.517,0.027,0.05,0.124,0.336,0.017,4.513,4.994,6.136,8.291,4.233,19.04.24 - 04:42
11,0.02,0.001,0.004,0.482,0.608,0.717,0.788,0.483,-1,0.0,0.0,0.0,0.0,0.0,0.482,0.608,0.717,0.788,0.483,11.214,11.862,12.719,13.289,11.05,19.04.24 - 04:42
12,0.02,0.001,0.006,0.399,0.537,0.665,0.749,0.3,-1,0.0,0.0,0.0,0.0,0.0,0.399,0.537,0.665,0.749,0.3,9.621,11.026,12.162,12.871,8.717,19.04.24 - 04:43
13,0.02,0.001,0.008,0.294,0.446,0.603,0.703,0.164,18.0,0.015,0.008,0.005,0.004,0.05,0.285,0.442,0.6,0.7,0.133,8.066,9.583,11.136,12.102,6.717,19.04.24 - 04:44
14,0.02,0.001,0.01,0.238,0.329,0.526,0.644,0.207,18.0,0.017,0.008,0.006,0.004,0.017,0.231,0.325,0.524,0.643,0.2,7.419,8.534,10.452,11.589,6.983,19.04.24 - 04:44
15,0.02,0.001,0.012,0.181,0.286,0.475,0.606,0.117,34.0,0.06,0.044,0.03,0.022,0.033,0.127,0.25,0.451,0.588,0.083,6.175,7.764,9.777,11.083,5.167,19.04.24 - 04:45
16,0.02,0.001,0.014,0.117,0.216,0.408,0.556,0.067,58.0,0.058,0.057,0.038,0.028,0.05,0.064,0.169,0.377,0.533,0.017,5.657,6.927,9.031,10.523,5.017,19.04.24 - 04:45
17,0.02,0.001,0.016,0.043,0.148,0.346,0.51,0.033,63.0,0.011,0.032,0.021,0.016,0.033,0.033,0.119,0.327,0.495,0.0,5.058,6.388,8.572,10.179,4.267,19.04.24 - 04:46
18,0.02,0.001,0.018000000000000002,0.14,0.18,0.339,0.504,0.117,49.0,0.097,0.101,0.072,0.054,0.083,0.045,0.086,0.273,0.455,0.033,4.921,5.899,7.852,9.639,4.6,19.04.24 - 04:47
