instance_id,Plasticity.lambda_plus,Plasticity.lambda_minus,Plasticity.lambda_h,Experiment.id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,0.02,0.0005,0.004,bss2-lambda,-1,0.233,0.403,0.536,0.652,0.167,0.0,0.0,0.0,0.0,0.0,0.233,0.403,0.536,0.652,0.167,8.693,9.613,10.809,11.857,7.667,19.04.24 - 00:47
1,0.02,0.0005,0.006,bss2-lambda,-1,0.167,0.267,0.458,0.593,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.267,0.458,0.593,0.167,6.813,8.213,9.996,11.247,5.5,19.04.24 - 00:48
2,0.02,0.0005,0.008,bss2-lambda,92,0.113,0.167,0.384,0.538,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.167,0.384,0.538,0.0,5.82,7.16,9.198,10.648,5.5,19.04.24 - 00:48
3,0.02,0.0005,0.01,bss2-lambda,82,0.047,0.107,0.322,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.107,0.322,0.492,0.0,5.28,6.49,8.591,10.193,3.667,19.04.24 - 00:49
4,0.02,0.0005,0.012,bss2-lambda,74,0.0,0.08,0.264,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.264,0.448,0.0,4.62,5.677,7.784,9.588,3.667,19.04.24 - 00:49
5,0.02,0.0005,0.014,bss2-lambda,68,0.0,0.06,0.222,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.222,0.417,0.0,4.107,5.287,7.222,9.167,3.667,19.04.24 - 00:50
6,0.02,0.0005,0.016,bss2-lambda,-1,0.253,0.19,0.284,0.46,0.167,0.253,0.147,0.098,0.073,0.167,0.0,0.043,0.187,0.387,0.0,3.5,4.74,6.66,8.715,3.5,19.04.24 - 00:50
7,0.02,0.0005,0.018000000000000002,bss2-lambda,-1,0.5,0.367,0.382,0.533,0.5,0.5,0.34,0.227,0.17,0.5,0.0,0.027,0.156,0.363,0.0,3.5,4.42,6.273,8.425,3.5,19.04.24 - 00:51
8,0.02,0.0005,0.02,bss2-lambda,-1,0.167,0.117,0.22,0.412,0.167,0.167,0.117,0.102,0.077,0.167,0.0,0.0,0.118,0.335,0.0,3.667,3.707,5.633,7.945,3.667,19.04.24 - 00:51
9,0.02,0.0005,0.022000000000000002,bss2-lambda,-1,0.5,0.483,0.42,0.562,0.5,0.5,0.48,0.32,0.24,0.5,0.0,0.003,0.1,0.322,0.0,3.5,3.9,5.489,7.837,3.5,19.04.24 - 00:52
10,0.02,0.0005,0.024,bss2-lambda,-1,0.5,0.497,0.451,0.582,0.5,0.5,0.497,0.367,0.275,0.5,0.0,0.0,0.084,0.307,0.0,3.82,3.94,5.353,7.705,3.5,19.04.24 - 00:53
11,0.02,0.001,0.004,bss2-lambda,-1,0.5,0.62,0.724,0.793,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.62,0.724,0.793,0.5,9.5,11.057,12.171,12.878,9.5,19.04.24 - 00:53
12,0.02,0.001,0.006,bss2-lambda,-1,0.313,0.497,0.638,0.728,0.167,0.0,0.0,0.0,0.0,0.0,0.313,0.497,0.638,0.728,0.167,9.2,10.427,11.711,12.533,7.5,19.04.24 - 00:54
