instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,21,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,3.667,3.667,3.667,5.233,3.667,23.05.24 - 00:57
1,19,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,3.833,3.833,3.833,5.167,3.833,23.05.24 - 00:57
2,38,0.0,0.0,0.031,0.154,0.0,0.0,0.0,0.029,0.032,0.0,0.0,0.0,0.004,0.13,0.0,4.0,4.0,4.227,5.892,4.0,23.05.24 - 00:57
3,22,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.112,0.0,3.667,3.667,3.747,5.547,3.667,23.05.24 - 00:57
4,32,0.0,0.0,0.029,0.16,0.0,0.0,0.0,0.016,0.033,0.0,0.0,0.0,0.013,0.132,0.0,4.0,4.0,4.222,5.735,4.0,23.05.24 - 00:57
5,17,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,3.833,3.833,3.833,5.237,3.833,23.05.24 - 00:57
6,33,0.0,0.0,0.018,0.167,0.0,0.0,0.0,0.018,0.04,0.0,0.0,0.0,0.0,0.132,0.0,3.5,3.5,3.527,5.477,3.5,23.05.24 - 00:57
7,27,0.0,0.0,0.004,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.14,0.0,3.333,3.333,3.467,5.177,3.333,23.05.24 - 00:57
8,34,0.0,0.0,0.021,0.159,0.0,0.0,0.0,0.016,0.013,0.0,0.0,0.0,0.007,0.147,0.0,4.5,4.5,4.871,6.443,4.5,23.05.24 - 00:57
9,16,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.103,0.0,3.667,3.667,3.789,5.342,3.667,23.05.24 - 00:57
