instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,20,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,3.5,3.5,3.5,5.71,3.5,22.05.24 - 08:15
1,18,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.0,3.5,3.5,3.5,5.405,3.5,22.05.24 - 08:15
2,-1,0.5,0.5,0.56,0.644,0.5,0.5,0.5,0.56,0.465,0.5,0.0,0.0,0.0,0.205,0.0,3.5,4.27,4.487,6.575,3.5,22.05.24 - 08:15
3,19,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.135,0.0,4.0,4.0,4.24,6.37,4.0,22.05.24 - 08:15
4,42,0.0,0.0,0.147,0.354,0.0,0.0,0.0,0.113,0.175,0.0,0.0,0.0,0.033,0.185,0.0,4.0,4.0,4.733,6.445,4.0,22.05.24 - 08:15
5,16,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.15,0.0,3.5,3.5,3.5,5.39,3.5,22.05.24 - 08:16
6,91,0.32,0.41,0.507,0.593,0.0,0.32,0.41,0.507,0.445,0.0,0.0,0.0,0.0,0.16,0.0,3.5,3.5,3.807,6.255,3.5,22.05.24 - 08:16
7,16,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.13,0.0,3.0,3.0,3.24,5.7,3.0,22.05.24 - 08:16
8,97,0.44,0.52,0.702,0.758,0.0,0.44,0.52,0.68,0.575,0.0,0.0,0.0,0.053,0.215,0.0,3.0,3.14,4.42,6.705,3.0,22.05.24 - 08:16
9,19,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.14,0.0,3.5,3.5,3.72,6.18,3.5,22.05.24 - 08:16
