instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,duplicate_dendrites_running-avg-0.25,duplicate_dendrites_running-avg-0.5,duplicate_dendrites_running-avg-0.75,duplicate_dendrites_running-avg-1.0,duplicate_dendrites_last,time_finished
0,15,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,4.75,4.75,4.75,5.662,4.75,0.0,0.0,0.0,0.37,0.0,29.05.24 - 10:54
1,13,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,4.0,4.0,4.0,5.005,4.0,0.0,0.0,0.0,0.37,0.0,29.05.24 - 10:54
2,13,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,4.75,4.75,4.75,5.638,4.75,0.0,0.0,0.0,0.34,0.0,29.05.24 - 10:54
3,11,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,4.5,4.5,4.5,5.21,4.5,0.0,0.0,0.0,0.18,0.0,29.05.24 - 10:54
4,13,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,3.5,3.5,3.5,4.465,3.5,0.0,0.0,0.0,0.34,0.0,29.05.24 - 10:54
5,13,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,4.0,4.0,4.0,4.918,4.0,0.0,0.0,0.0,0.36,0.0,29.05.24 - 10:54
6,12,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,3.75,3.75,3.75,4.625,3.75,0.0,0.0,0.0,0.31,0.0,29.05.24 - 10:54
7,16,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,4.25,4.25,4.25,5.065,4.25,0.0,0.0,0.0,0.17,0.0,29.05.24 - 10:54
8,13,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,3.5,3.5,3.5,4.425,3.5,0.0,0.0,0.0,0.24,0.0,29.05.24 - 10:54
9,11,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,4.0,4.0,4.0,4.722,4.0,0.0,0.0,0.0,0.25,0.0,29.05.24 - 10:54
