instance_id,num-epochs,error_running-avg-0.25,error_running-avg-0.5,error_running-avg-0.75,error_running-avg-1.0,error_last,false_positive_running-avg-0.25,false_positive_running-avg-0.5,false_positive_running-avg-0.75,false_positive_running-avg-1.0,false_positive_last,false_negative_running-avg-0.25,false_negative_running-avg-0.5,false_negative_running-avg-0.75,false_negative_running-avg-1.0,false_negative_last,active_somas_running-avg-0.25,active_somas_running-avg-0.5,active_somas_running-avg-0.75,active_somas_running-avg-1.0,active_somas_last,time_finished
0,24,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.083,0.0,3.833,3.833,3.833,4.963,3.833,19.04.24 - 14:24
1,24,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.105,0.0,3.833,3.833,3.833,5.173,3.833,19.04.24 - 14:24
2,21,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.093,0.0,4.167,4.167,4.167,5.343,4.167,19.04.24 - 14:25
3,20,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.097,0.0,4.0,4.0,4.0,5.32,4.0,19.04.24 - 14:25
4,29,0.0,0.0,0.009,0.139,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.009,0.11,0.0,3.833,3.833,4.02,5.35,3.833,19.04.24 - 14:25
5,17,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.075,0.0,4.0,4.0,4.0,4.88,4.0,19.04.24 - 14:25
6,31,0.0,0.0,0.022,0.147,0.0,0.0,0.0,0.013,0.038,0.0,0.0,0.0,0.009,0.112,0.0,3.167,3.167,3.353,4.73,3.167,19.04.24 - 14:25
7,15,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.09,0.0,3.667,3.667,3.667,4.898,3.667,19.04.24 - 14:25
8,18,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.088,0.0,4.5,4.5,4.5,5.587,4.5,19.04.24 - 14:25
9,24,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.098,0.0,4.0,4.0,4.0,5.283,4.0,19.04.24 - 14:25
